school_name,url_address,address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,ccas_offered,subjects_offered,moe_programmes
SERANGOON GARDEN SECONDARY SCHOOL,http://www.sgs.edu.sg,21   SERANGOON NORTH AVENUE 1,555889,"SERANGOON MRT, ANG MO KIO MRT","25, 55, 73, 74, 74e, 76, 132, 165, 315",SERANGOON,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Art, Basic Chinese Language, Computer Applications, Design & Technology, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Music, Nutrition And Food Science, Science, Social Studies, Basic Tamil Language, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Computing, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Tamil Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Malay Language Syllabus B, Music, Tamil Language Syllabus B",
SERANGOON SECONDARY SCHOOL,http://www.serangoonsec.moe.edu.sg,11   UPPER SERANGOON VIEW,534237,"HOUGANG MRT, KANGKAR LRT","62, 74, 102, 113, 119, 136, 147, 324",HOUGANG,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Basic Chinese Language, Computer Applications, Design & Technology, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Mobile Robotics, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Computing, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, History, History, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Tamil Language, Music, Physical Education",
SHUQUN PRIMARY SCHOOL,http://www.shuqunpri.moe.edu.sg,8    JURONG WEST STREET 51,649332,W11 Lakeside,"98, 187, 335",JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
SI LING PRIMARY SCHOOL,http://www.silingpri.moe.edu.sg,61   WOODLANDS AVENUE 1,739067,Woodlands,912 from Woodlands Interchange,WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation English Language, Foundation Mathematics, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,www.scgs.moe.edu.sg,190  DUNEARN ROAD,309437,Stevens,"66, 67, 105, 132, 151, 153, 154, 156, 170, 171, 186, 190, 605, 700, 960",NOVENA,NORTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Higher Chinese Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
SINGAPORE CHINESE GIRLS' SCHOOL,http://www.scgs.moe.edu.sg,190  DUNEARN ROAD,309437,STEVENS MRT,"48, 66, 67, 105, 132, 151, 153, 154, 156, 170, 186, 190, 960, 971E, 972",NOVENA,NORTH,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,Yes,Chinese,Malay,Tamil,,"Additional Mathematics, Biology, Chemistry, Chinese Language, Chinese Language, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Higher Art, Higher Music, Higher Music, History, History, Higher Malay Language, Higher Malay Language, Higher Tamil Language, Higher Tamil Language, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Music, Physics, Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language",Bicultural Studies Programme
SINGAPORE SPORTS SCHOOL,http://www.sportsschool.edu.sg,1    Champions Way,737913,Woodlands South MRT,"665, 900A, 901, 901M",WOODLANDS,NORTH,SPECIALISED INDEPENDENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVELS,No,No,No,No,Chinese,Malay,Tamil,,,
SOUTH VIEW PRIMARY SCHOOL,http://www.southviewpri.moe.edu.sg,6    Choa Chu Kang Central,689762,Choa Chu Kang MRT Station,307 / South View LRT Station,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation English Language, Foundation Mathematics, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
SPECTRA SECONDARY SCHOOL,https://www.spectra.edu.sg,1    WOODLANDS DRIVE 64,737758,ADMIRALTY MRT,"901M, 904, 912, 913, 962, 964, 965, 969",WOODLANDS,NORTH,SPECIALISED SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Music, Basic Chinese Language, English Language, Mathematics, Basic Malay Language, Science, Basic Tamil Language, Chinese Language, English Language, Mathematics, Malay Language, Tamil Language, Physical Education",
SPRINGDALE PRIMARY SCHOOL,http://springdalepri.moe.edu.sg/,71   Anchorvale Link,544799,Sengkang Station (NE16)  Nearest LRT station: Farmway  *10-15 min walk from either station,"50, 85, 102, 372    Nearest Bus Stop: In front of Blk 326 Car Park  *1-2 min walk from bus stop; enter by Main Gate along Anchorvale Link or Rear Gate",SENG KANG,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
