school_name,url_address,address,postal_code,mrt_desc,bus_desc,dgp_code,zone_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,ccas_offered,subjects_offered,moe_programmes
JURONG PIONEER JUNIOR COLLEGE,http://jpjc.moe.edu.sg,21   Teck Whye Walk,688258,Choa Chu Kang / Bt Panjang / Phoenix Station (LRT),"975, 190, 985",CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,"BADMINTON, BASKETBALL, HOCKEY, NETBALL, FOOTBALL, TABLE TENNIS, TENNIS, TAEKWONDO, VOLLEYBALL, FLOORBALL, TOUCH RUGBY, FRISBEE, CHINESE ORCHESTRA, CHOIR, GUITAR ENSEMBLE, MODERN DANCE, ENGLISH DRAMA, ART AND CRAFTS, AUDIO VISUAL AID, INTERNATIONAL CHESS, DEBATING AND PUBLIC SPEAKING, COMMUNITY SERVICE (ROTARY-SPONSORED), MALAY CULTURE AND LANGUAGE, CIVIL DEFENCE","Chinese Language Syllabus B, Art, Biology, Chemistry, Chinese Language, Economics, Geography, General Paper, History, Literature In English, Mathematics, Malay Language, Physics, Project Work, Tamil Language, Art, Biology, Chemistry, China Studies In English, Chinese Language And Literature, Translation (Chinese), Computing, Economics, Geography, History, Literature In English, Mathematics, Malay Language And Literature, Physics, Chemistry, NUS-MOE Humanities & Social Science Research (cl & Lit), Mathematics, NTU Molecular Biology, NTU Semiconductor Physics & Devices, NUS Geopolitics: Geographies Of War & Peace, Malay Language Syllabus B, Tamil Language Syllabus B","Language Elective Programme (Chinese), Language Elective Programme (Malay), Engineering and Tech Programme and Scholarship"
JURONG PRIMARY SCHOOL,http://www.jurongpri.moe.edu.sg,320  JURONG EAST Street 32,609476,"Lakeside MRT Station, Jurong East MRT Station",333,JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
JURONG SECONDARY SCHOOL,http://www.jurongsec.moe.edu.sg,31   YUAN CHING ROAD,618652,LAKESIDE MRT,"30, 49, 98, 98A, 154, 240, 246",JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Science, Art, Design & Technology, Food & Consumer Education, Basic Chinese Language, Computer Applications, Elements Of Business Skills, English Language, Mathematics, Basic Malay Language, Mobile Robotics, Social Studies, Basic Tamil Language, Additional Mathematics, Chinese Language, Design & Technology, English Language, Mathematics, Malay Language, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Computing, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Higher Malay Language, Higher Malay Language, Literature In Chinese, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Music, Physical Education",
JURONG WEST PRIMARY SCHOOL,http://www.jurongwestpri.moe.edu.sg,30   JURONG WEST ST 61,648368,Pioneer MRT Station,192,JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation English Language, Foundation Mathematics, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
JURONG WEST SECONDARY SCHOOL,https://www.jurongwestsec.moe.edu.sg,61   JURONG WEST STREET 65,648348,"BOON LAY MRT, PIONEER MRT","30, 154, 157, 180, 187, 198, 242",JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Computing, Design & Technology, Design & Technology, English Language, English Language, Exercise & Sports Science, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Higher Art, History, History, Higher Malay Language, Higher Malay Language, Higher Tamil Language, Higher Tamil Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Music, Physical Education",Enhanced Art Programme
JURONGVILLE SECONDARY SCHOOL,http://www.jurongvillesec.moe.edu.sg,202  JURONG EAST AVENUE 1,609790,"JURONG EAST MRT, CHINESE GARDEN MRT","98, 98M, 99, 157, 185, 187, 198, 334, 502",JURONG EAST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Basic Chinese Language, Computer Applications, Design & Technology, English Language, Smart Electrical Technology, Mathematics, Basic Malay Language, Science, Basic Tamil Language, Art, Chinese Language, Design & Technology, English Language, Mathematics, Malay Language, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Electronics, Higher Chinese Language, Higher Chinese Language, Higher Malay Language, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Music, Physical Education",
JUYING SECONDARY SCHOOL,http://juyingsec.moe.edu.sg,33   JURONG WEST STREET 91,649038,"BOON LAY MRT, PIONEER MRT, JOO KOON MRT","99, 241",JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Mathematics, Basic Malay Language, Mobile Robotics, Science, Social Studies, Additional Mathematics, Chinese Language, Design & Technology, English Language, Geography, History, Literature In English, Mathematics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Additional Mathematics, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Higher Malay Language, Higher Malay Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Music",
KEMING PRIMARY SCHOOL,http://www.kemingpri.moe.edu.sg,90   BUKIT BATOK EAST AVENUE 6,659762,Bukit Batok,"61,66,77,106,157,174,178,963",BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation English Language, Foundation Mathematics, Foundation Science, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
KENT RIDGE SECONDARY SCHOOL,http://www.kentridgesec.moe.edu.sg,147  WEST COAST ROAD,127368,"CLEMENTI MRT, HAW PAR VILLA MRT","30, 51, 143, 175, 176, 201, 282",CLEMENTI,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,na,,"Chinese Language Syllabus B, Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Music, Science, Social Studies, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Computing, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Higher Malay Language, Higher Malay Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Music, Physical Education",
KHENG CHENG SCHOOL,http://www.khengcheng.moe.edu.sg/,15   LORONG 3 TOA PAYOH,319580,Braddell,"SBS 235,56,73,88,157,159,163,231,",TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Higher Chinese Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
KONG HWA SCHOOL,http://www.konghwa.moe.edu.sg,350  GUILLEMARD ROAD,399772,Dakota,"Service 7,70,70M,197(to Guillemard Road)",GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na,,,
KRANJI PRIMARY SCHOOL,http://kranjipri.moe.edu.sg,11   CHOA CHU KANG STREET 54,689189,Yew Tee MRT,"Bus No 307, 302",CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
KRANJI SECONDARY SCHOOL,http://www.kranjisec.moe.edu.sg,61   CHOA CHU KANG STREET 51,689333,"CHUA CHU KANG MRT, YEW TEE MRT",302,CHOA CHU KANG,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Basic Chinese Language, Computer Applications, Design & Technology, English Language, Food & Consumer Education, Basic Malay Language, Music, Science, Social Studies, Basic Tamil Language, Art, Design & Technology, Food & Consumer Education, Geography, History, Literature In English, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Biology, Chemistry, Chinese Language, Chinese Language, Computing, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Higher Malay Language, Higher Malay Language, Higher Tamil Language, Higher Tamil Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Principles Of Accounts, Science (Chem, Bio), Science (Phy, Chem), Tamil Language, Tamil Language, Music, Physical Education",
KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,http://www.kuochuanpresbyterianpri.moe.edu.sg,8    BISHAN STREET 13,579793,Bishan MRT Station,"54, 56, 410, 410G",BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
KUO CHUAN PRESBYTERIAN SECONDARY SCHOOL,http://www.kuochuanpresbyteriansec.moe.edu.sg,10   BISHAN STREET 13,579795,BISHAN MRT,"54, 56, 410G, 410W",BISHAN,SOUTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,,
LAKESIDE PRIMARY SCHOOL,http://www.lakesidepri.moe.edu.sg/,161  Corporation Walk,618310,Lakeside MRT,"30, 49, 98, 98M",JURONG WEST,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
LIANHUA PRIMARY SCHOOL,http://www.lianhuapri.moe.edu.sg/,2    BUKIT BATOK STREET 52,659243,Bukit Gombak/Bukit Batok,945,BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
LOYANG VIEW SECONDARY SCHOOL,http://www.loyangviewsec.moe.edu.sg,12   PASIR RIS STREET 11,519073,PASIR RIS MRT,"12, 21, 39, 53, 81, 109, 359, 518",PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Basic Chinese Language, Computer Applications, Design & Technology, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Music, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Mathematics, Malay Language, Principles Of Accounts, Science, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, History, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Music, Physical Education",
MAHA BODHI SCHOOL,http://www.mahabodhi.moe.edu.sg/,10   UBI AVENUE 1,408931,"Eunos Station (Transfer Bus No.63, 63M) Ubi Station (Transfer Bus No. 137)","5,8,15,22,25,45,51,55,59,61,63,63M,65,66,93,94,854",GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,Yes,No,No,No,Chinese,na,na,,,
MANJUSRI SECONDARY SCHOOL,http://www.manjusrisec.moe.edu.sg,20   UBI AVENUE 1,408940,"UBI MRT, MACPHERSON MRT","5, 8, 15, 22, 25, 45, 51, 55, 59, 61, 63, 63M, 65, 66, 93, 94, 137, 854",GEYLANG,EAST,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,na,,"Chinese Language Syllabus B, Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Science, Social Studies, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Higher Chinese Language, Higher Chinese Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Music",
MARIS STELLA HIGH SCHOOL,http://www.marisstellahigh.moe.edu.sg,25   MOUNT VERNON ROAD,368051,BARTLEY MRT,"28, 93, 129, 158",TOA PAYOH,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,MIXED LEVELS,Yes,Yes,No,No,Chinese,na,na,,"Conversational Malay, Information And Communications Technology, Art, Chinese Language, English Language, Foundation Chinese Language, Foundation Mathematics, Appreciation Of Chinese Culture, Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Computing, Design & Technology, English Language, English Language, Exercise & Sports Science, Food & Consumer Education, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Literature In Chinese, Literature In English, Literature In English, Mathematics, Mathematics, Music, Physics, Principles Of Accounts, Science, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In Chinese), Humanities (SS, Literature In English), Higher Chinese Language, Mathematics, Music, Music, Music, Music, Physical Education, Science, Social Studies",Language Elective Programme (Chinese)
MARSILING PRIMARY SCHOOL,http://www.marsilingpri.moe.edu.sg,31   WOODLANDS CENTRE ROAD,738927,Marsiling MRT Station,"856, 911, 912",WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
MARSILING SECONDARY SCHOOL,http://www.marsilingsec.moe.edu.sg,12   MARSILING ROAD,739110,MARSILING MRT,"913, 911",WOODLANDS,NORTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language Syllabus B, Design & Technology, Food & Consumer Education, Art, Basic Chinese Language, Computer Applications, Design & Technology, Elements Of Business Skills, English Language, Food & Consumer Education, Mathematics, Basic Malay Language, Retail Operations, Science, Social Studies, Basic Tamil Language, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Food & Consumer Education, Geography, History, Literature In English, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Tamil Language, Additional Mathematics, Art, Art, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Food & Consumer Education, Geography, Geography, Higher Chinese Language, History, History, Higher Malay Language, Higher Malay Language, Higher Tamil Language, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language, Malay Language Syllabus B, Music, Physical Education, Tamil Language Syllabus B",
MARYMOUNT CONVENT SCHOOL,HTTP://WWW.MARYMOUNTCONVENT.MOE.EDU.SG,20   Marymount Road,297754,Braddell MRT Station or  Caldecott MRT Station,"141, 235",TOA PAYOH,SOUTH,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
MAYFLOWER PRIMARY SCHOOL,http://www.mayflowerpri.moe.edu.sg,6    Ang Mo Kio Avenue 2,569948,Yio Chu Kang MRT Station.,"13,86,138,162,269,851,852,853.",ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
MAYFLOWER SECONDARY SCHOOL,http://www.mayflowersec.moe.edu.sg,2    ANG MO KIO STREET 21,569384,"ANG MO KIO MRT, MAYFLOWER MRT (Targeted to open in 2020)","71, 76, 132, 165, 166, 169, 262, 265, 268, 269",ANG MO KIO,SOUTH,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language Syllabus B, Design & Technology, Food & Consumer Education, Art, Basic Chinese Language, Computer Applications, Elements Of Business Skills, English Language, Mathematics, Basic Malay Language, Mobile Robotics, Science, Social Studies, Additional Mathematics, Art, Chinese Language, Design & Technology, English Language, Geography, History, Mathematics, Malay Language, Nutrition And Food Science, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Geography, Higher Chinese Language, Higher Chinese Language, History, Higher Malay Language, Higher Malay Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Nutrition And Food Science, Physics, Principles Of Accounts, Science, Science (Chem, Bio), Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Music, Physical Education",
MEE TOH SCHOOL,http://www.meetoh.moe.edu.sg/,21   EDGEDALE PLAINS,828867,Punggol Station,"3,62,83",PUNGGOL,NORTH,GOVERNMENT-AIDED SCH,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Science, Higher Chinese Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
MERIDIAN PRIMARY SCHOOL,http://www.meridianpri.moe.edu.sg/,20   PASIR RIS ST 71,518798,Pasir Ris MRT Station,3359,PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation English Language, Foundation Mathematics, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
MERIDIAN SECONDARY SCHOOL,http://www.meridiansec.moe.edu.sg,31   PASIR RIS STREET 51,518901,PASIR RIS MRT,"39, 53, 81, 89, 109, 359, 403, 518",PASIR RIS,EAST,GOVERNMENT SCHOOL,CO-ED SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,No,Chinese,Malay,Tamil,,"Computer Applications, Design & Technology, Elements Of Business Skills, Mathematics, Science, Additional Mathematics, Art, Chinese Language, English Language, Mathematics, Malay Language, Principles Of Accounts, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Additional Mathematics, Art, Art, Biology, Chemistry, Chinese Language, Chinese Language, Design & Technology, Design & Technology, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, History, History, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Physics, Principles Of Accounts, Science (Phy, Chem), Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English)",Enhanced Art Programme
METHODIST GIRLS' SCHOOL (PRIMARY),https://www.mgs.moe.edu.sg/,11   Blackmore Drive,599986,King Albert Park MRT,"66, 67, 74, 77, 151, 154, 157, 170, 171, 174, 852, 961, 970",BUKIT TIMAH,WEST,GOVERNMENT-AIDED SCH,GIRLS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Art, Chinese Language, English Language, Foundation Chinese Language, Foundation Mathematics, Higher Chinese Language, Mathematics, Malay Language, Music, Physical Education, Science, Social Studies, Tamil Language",
METHODIST GIRLS' SCHOOL (SECONDARY),http://www.mgs.moe.edu.sg,11   BLACKMORE DRIVE,599986,KING ALBERT PARK MRT,"66, 67, 74, 77, 151, 154, 157, 170, 174, 852, 961, 970",BUKIT TIMAH,WEST,INDEPENDENT SCHOOL,GIRLS' SCHOOL,SINGLE SESSION,SECONDARY,No,No,No,Yes,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Additional Mathematics, Biology, Chemistry, Chinese Language, Chinese Language, English Language, English Language, Geography, Geography, Higher Chinese Language, Higher Chinese Language, Higher Art, Higher Art, Higher Music, Higher Music, History, History, Higher Malay Language, Higher Malay Language, Higher Tamil Language, Higher Tamil Language, Literature In English, Literature In English, Mathematics, Mathematics, Malay Language, Malay Language, Music, Physics, Project Work, Humanities (SS, Geography), Humanities (SS, History), Humanities (SS, Literature In English), Tamil Language, Tamil Language",Music Elective Programme
MILLENNIA INSTITUTE,http://www.millenniainstitute.moe.edu.sg,60   Bukit Batok West Avenue 8,658965,Bukit Batok (NS 2),"157, 174, 174e, 178, 506, 991, 941, 160M",BUKIT BATOK,WEST,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,CENTRALISED INSTITUTE,No,No,No,No,Chinese,Malay,Tamil,,"Chinese Language Syllabus B, Biology, Chemistry, Chinese Language, Economics, General Studies In Chinese, Geography, General Paper, History, Literature In English, Mathematics, Malay Language, Physics, Project Work, Tamil Language, Art, Biology, Chemistry, Chinese Language And Literature, Economics, Geography, History, Literature In English, Mathematics, Malay Language And Literature, Management Of Business, Physics, Principles Of Accounting, Tamil Language And Literature, Malay Language Syllabus B, Tamil Language Syllabus B",Engineering and Tech Programme and Scholarship
MONTFORT JUNIOR SCHOOL,http://www.montfortjunior.moe.edu.sg/,52   HOUGANG AVENUE 8,538786,Hougang MRT & Bus Interchange,"74,88,101,147,161,",HOUGANG,NORTH,GOVERNMENT-AIDED SCH,BOYS' SCHOOL,SINGLE SESSION,PRIMARY,No,No,No,No,Chinese,Malay,Tamil,,"Science, Art, Chinese Language, English Language, Foundation Chinese Language, Foundation English Language, Foundation Mathematics, Foundation Malay Language, Foundation Science, Foundation Tamil Language, Higher Chinese Language, Higher Malay Language, Higher Tamil Language, Mathematics, Malay Language, Music, Physical Education, Social Studies, Tamil Language",
